freq_hz,mean_psd_c0_db,std_psd_c0_db,mean_psd_c1_db,std_psd_c1_db,p_value,-log10_p
0.0,-0.68502855,7.5518703,-0.7100964,7.534561,0.09679223711037621,1.0141594723953111
0.78125,7.9246545,6.000649,7.9173994,5.963241,0.5316538091576712,0.27437107017171936
1.5625,7.418462,5.7393675,7.4463186,5.7155576,0.015332065593205326,1.8143993314274567
2.34375,6.1510134,5.8122888,6.1925483,5.8070316,0.0003381442755588372,3.4708979603434806
3.125,4.833028,5.722484,4.87153,5.7015014,0.0007386782635135713,3.131544680422634
3.90625,3.5914617,5.539613,3.6139343,5.5344024,0.04266274284685849,1.369951226594924
4.6875,2.7508874,5.47811,2.773629,5.497396,0.03845258242455161,1.4150744882404038
5.46875,1.9723643,5.3758793,1.9979119,5.3943152,0.017713525024373178,1.7516950048010091
6.25,1.3481202,5.3057656,1.3555174,5.3071823,0.48775234236245524,0.3118006362898846
7.03125,0.95446444,5.368598,0.9466566,5.365477,0.467422302631488,0.33029056948186153
7.8125,0.6071873,5.43857,0.6045333,5.446795,0.8084387928339257,0.09235285509056347
8.59375,0.06954344,5.4430594,0.07456486,5.45535,0.6450070437917482,0.1904355426311128
9.375,-0.6675192,5.3749337,-0.6531466,5.381858,0.1812257472777902,0.7417801007745046
10.15625,-1.500772,5.2721786,-1.4926679,5.2774625,0.4423546975307351,0.3542293564317556
10.9375,-2.3124297,5.191226,-2.30764,5.2110963,0.6437251759129275,0.19129950540225593
11.71875,-3.015524,5.255916,-2.9948308,5.2656217,0.04989780398758693,1.3019185673437343
12.5,-3.4775045,5.6430616,-3.4837558,5.6292124,0.5851951438799545,0.23269928643409804
13.28125,-3.832774,6.101376,-3.824004,6.1004057,0.4771768647325185,0.3213206206650879
14.0625,-4.285844,6.0262027,-4.267694,6.0415573,0.13323781795536466,0.8753724883923305
14.84375,-4.8186483,5.6095276,-4.813722,5.6460443,0.6641178796851093,0.17775482732921333
15.625,-5.3413906,5.344442,-5.345581,5.340686,0.6877513106133518,0.1625685733241687
16.40625,-5.8497515,5.1432633,-5.853671,5.132326,0.7012817571863257,0.15410745848658985
17.1875,-6.219078,5.1107016,-6.223337,5.1019793,0.6786261966914432,0.16836937949941413
17.96875,-6.5269647,5.1310735,-6.523493,5.1173353,0.7385993056031983,0.13159110498837204
18.75,-6.827893,5.160649,-6.8250613,5.138405,0.7797353726816328,0.10805276357080126
19.53125,-7.1445704,5.168562,-7.1404576,5.132212,0.6853043951058508,0.16411648288551273
20.3125,-7.485475,5.1507816,-7.491651,5.127189,0.5456664392280128,0.26307275632550886
21.09375,-7.8583517,5.109345,-7.8735676,5.1040745,0.13753971073674903,0.8615718933687659
21.875,-8.267672,5.1193304,-8.276886,5.101002,0.36258868874203065,0.4405857482094626
22.65625,-8.702165,5.1287785,-8.708147,5.102225,0.5619063114419771,0.25033608979684324
23.4375,-9.156702,5.155034,-9.159376,5.134261,0.7981157598284523,0.09793411340033394
24.21875,-9.598939,5.247815,-9.59265,5.252921,0.5593412558684332,0.2523231468165354
25.0,-10.042531,5.3830996,-10.042611,5.413828,0.9909098563275056,0.003965851751039926
25.78125,-10.600778,5.3120184,-10.611505,5.3071423,0.3250253858810557,0.48808271742881304
26.5625,-11.185171,5.284546,-11.205522,5.266856,0.05304757800337927,1.2753344399205977
27.34375,-11.752201,5.3266306,-11.75592,5.2993364,0.7193569971835999,0.1430555276574514
