freq_hz,mean_psd_c0_db,std_psd_c0_db,mean_psd_c1_db,std_psd_c1_db,p_value,-log10_p
0.0,-25.919203,8.9080925,-26.024416,9.190043,5.225698814359856e-09,8.281855624656709
0.78125,-18.159561,7.636402,-18.258354,7.9953284,3.121478194393344e-10,9.505639694558647
1.5625,-16.463705,7.849899,-16.558651,8.182811,3.201771823494592e-09,8.494609621613527
2.34375,-15.404139,7.8351583,-15.485724,8.201189,3.6573155908968943e-07,6.436837562639412
3.125,-14.565124,7.7642946,-14.628649,8.161245,6.19428127860666e-05,4.208009077478884
3.90625,-13.766108,7.9932985,-13.822185,8.403107,0.0006655464236030885,3.176821645957186
4.6875,-12.978113,8.69528,-13.05481,9.050008,1.5330556006276777e-05,4.8144420939336845
5.46875,-12.622504,8.560426,-12.686081,8.923118,0.0002590335100876133,3.5866440494139162
6.25,-12.622079,7.7131586,-12.656009,8.155565,0.03453070214786136,1.4617945906096732
7.03125,-12.589294,7.555554,-12.589955,8.040602,0.9530719062153914,0.02087433200124819
7.8125,-12.609815,7.5276127,-12.607128,8.026548,0.8746306735908835,0.05817529587103184
8.59375,-12.551366,7.4761157,-12.557455,7.970252,0.7039774872518069,0.15244122909459912
9.375,-12.183515,7.761214,-12.198385,8.236759,0.355705739960423,0.44890912662466464
10.15625,-12.038923,7.926076,-12.052987,8.390738,0.3874107307682866,0.4118283540637057
10.9375,-12.237777,7.5694666,-12.246928,8.065838,0.5514432456026055,0.25849917840050474
11.71875,-12.418616,7.3484206,-12.435567,7.858044,0.2699937276145813,0.5686463250781151
12.5,-12.387509,7.4165397,-12.404149,7.919831,0.2878081359387944,0.5408969333202581
13.28125,-12.297266,7.4339876,-12.332039,7.922153,0.022797594507854135,1.6421109752398402
14.0625,-12.153433,7.6067595,-12.183344,8.079107,0.055913581641509405,1.252482687363525
14.84375,-12.017603,7.872444,-12.050859,8.349259,0.040362631815033044,1.394020523666996
15.625,-12.145278,7.686545,-12.173536,8.177351,0.07292571333607924,1.137119314055283
16.40625,-12.496149,7.268828,-12.522644,7.7732844,0.07550634127887496,1.1220165733141765
17.1875,-12.622137,7.2425814,-12.654377,7.750577,0.033793043084218696,1.471172697980145
17.96875,-12.672645,7.197559,-12.706435,7.71731,0.02325421177468108,1.633498376759135
18.75,-12.663188,7.148152,-12.698996,7.6847644,0.015338564025224027,1.814215296522136
19.53125,-12.576952,7.294823,-12.61497,7.8165026,0.01086306322487602,1.9640476927882022
20.3125,-12.635115,7.3539243,-12.668787,7.85244,0.026903570401737055,1.5701900804854452
21.09375,-12.84964,7.1505604,-12.887718,7.660253,0.009913206972215259,2.003785826339315
21.875,-13.003271,7.0508533,-13.054427,7.5663257,0.00044871798180513405,3.3480265263165663
22.65625,-13.113351,6.9862456,-13.15917,7.518007,0.0014674945610276713,2.8334234997021857
23.4375,-13.157633,6.8671513,-13.188307,7.4303584,0.032520804220838626,1.48783872309169
24.21875,-12.513707,6.6957107,-12.510792,7.3076572,0.8220025001826032,0.08512686151851767
25.0,-12.255016,7.1935067,-12.258413,7.7897162,0.8211026468067093,0.08560254792904254
25.78125,-12.713614,6.632388,-12.710885,7.2462773,0.8415254373940952,0.07493275175836503
26.5625,-13.444948,6.7959814,-13.497174,7.364948,0.0002299255757206397,3.6384127173929337
27.34375,-13.552839,6.8808928,-13.614652,7.446258,1.679129371246739e-05,4.774915841649873
28.125,-13.664705,6.9332175,-13.716132,7.4980254,0.0003653019874487332,3.4373479649748617
28.90625,-13.678047,7.026619,-13.717424,7.5801344,0.007060556455621858,2.1511610700413
29.6875,-13.594828,7.31358,-13.637251,7.83298,0.005330203306981249,2.27325622560454
30.46875,-13.669003,7.2566814,-13.721271,7.7732854,0.00046150057489537696,3.3358277536332275
31.25,-13.906946,6.9691677,-13.96596,7.5050163,4.494826036434622e-05,4.347287112135094
32.03125,-14.040725,6.9890213,-14.115875,7.5236907,2.2341965270711005e-07,6.6508786276087015
32.8125,-14.116114,7.0223923,-14.182317,7.5449653,5.4921761236556344e-06,5.2602555442129
33.59375,-14.104718,7.0352664,-14.169397,7.5555205,1.0137094398782854e-05,4.994086509243864
34.375,-13.945477,7.2421756,-14.004597,7.7590327,8.04762806330425e-05,4.0943321035837785
35.15625,-13.965667,7.374217,-14.023408,7.8685627,0.00015199204097362756,3.818179153185058
35.9375,-14.374895,7.16423,-14.434429,7.662929,5.936344970640396e-05,4.226480869438539
